epoch,train_loss
1,0.6907866134643554
2,0.6592891745567322
3,0.6277452406883239
4,0.6020624191761017
5,0.5749195363521576
6,0.5522566702365875
7,0.5363090987205505
8,0.517691879272461
9,0.5091476922035217
10,0.4812121741771698
11,0.4523201289176941
12,0.4319184219837189
13,0.4084371926784515
14,0.38659390318393705
15,0.3688066153526306
16,0.3448302673101425
17,0.3399366191625595
18,0.30841725432872774
19,0.3174483654499054
20,0.31741069167852404
21,0.29369502019882204
22,0.2824953428506851
23,0.2643582906126976
24,0.29762908625602724
25,0.31089842557907105
26,0.3074888515472412
27,0.3682475119829178
28,0.5997068067789078
29,0.6659983682632447
30,0.6481777801513672
31,0.6939791345596313
32,0.6939968667030334
33,0.6947138586044311
34,0.6941175570487976
35,0.6938303980827332
36,0.6938906984329224
37,0.6933830375671387
38,0.6939285960197449
39,0.693920301914215
40,0.6940060157775879
41,0.6944000358581544
42,0.6952131428718566
43,0.6942675743103027
44,0.6939131164550781
45,0.6941436805725097
46,0.6939380187988281
47,0.6939451732635498
48,0.6941182193756104
49,0.6940650424957275
50,0.6940841841697692
