epoch,train_err
1,0.50225
2,0.50225
3,0.50225
4,0.499375
5,0.475125
6,0.457125
7,0.450625
8,0.460875
9,0.448625
10,0.441875
11,0.44175
12,0.452
13,0.44025
14,0.44725
15,0.442125
16,0.440375
17,0.4415
18,0.44025
19,0.4395
20,0.44225
21,0.438
22,0.4405
23,0.4415
24,0.43425
25,0.436125
26,0.4325
27,0.43525
28,0.429875
29,0.425625
30,0.421
31,0.41925
32,0.415125
33,0.4085
34,0.4
35,0.39
36,0.383125
37,0.371875
38,0.366
39,0.360375
40,0.358625
41,0.354625
42,0.35175
43,0.346625
44,0.344
45,0.344625
46,0.339875
47,0.332375
48,0.331125
49,0.33125
50,0.319375
