epoch,train_loss
1,0.6945176711082458
2,0.6936532707214356
3,0.6932304272651673
4,0.6930110306739807
5,0.6929148225784302
6,0.6927565026283264
7,0.6926535167694092
8,0.6925662317276001
9,0.6924355392456054
10,0.692307011127472
11,0.6921687111854553
12,0.6920222158432007
13,0.691852068901062
14,0.691649694442749
15,0.6914028077125549
16,0.6911181573867797
17,0.6907597241401673
18,0.6903022546768188
19,0.6897439208030701
20,0.6890713295936585
21,0.6883407821655273
22,0.6874616522789001
23,0.6865156779289245
24,0.6854834952354432
25,0.6843207530975342
26,0.683079514503479
27,0.6818747453689575
28,0.6802906522750855
29,0.6786426982879639
30,0.6771046705245972
31,0.6750969362258911
32,0.6728220925331115
33,0.6701314220428467
34,0.6669114713668823
35,0.6627825250625611
36,0.6583801593780517
37,0.6525284543037414
38,0.647353533744812
39,0.6429635753631592
40,0.6384827928543091
41,0.6354098677635193
42,0.6336879534721375
43,0.6277894029617309
44,0.6219266185760498
45,0.6193491411209107
46,0.6172153844833373
47,0.6116934752464295
48,0.6107140140533447
49,0.6091068031787872
50,0.601860331773758
